"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"k11654","22 Oct 2008","22 Oct 2008","-","Imam Hussein, Tuz Khurmatu","head of kidnapped man found","executed, decapitated","1","1","McCla 22 Oct"
"k11666","22 Oct 2008","22 Oct 2008","-","Sanaa, Mosul","Christian father and son","-","2","2","Asia News 23 Oct"
"k11716","22 Oct 2008","22 Oct 2008","-","Baghdad","18-year-old man killed","roadside bomb","1","1","WP 26 Oct"
"k11655","21 Oct 2008","21 Oct 2008","AM","Between Mandili and Baladrouz","car hit","roadside bomb or explosives","3","3","NINA 21 Oct , Al-Shar 21 Oct"
"k11656","21 Oct 2008","21 Oct 2008","AM","Jurf al-Sakhr","inter-tribal fighting or attack by gunmen on Sunni tribe","gunfire","0","15","VOI 21 Oct, AFP 21 Oct"
"k11657","21 Oct 2008","21 Oct 2008","-","Al-Nour, east Mosul","body found shot dead","gunfire","1","1","VOI 21 Oct, REU 21 Oct"
"k11658","21 Oct 2008","21 Oct 2008","-","Hurriyah, west Baghdad","body found tortured and shot","gunfire, executed, tortured","1","1","McCla 21 Oct, NINA 21 Oct"
"k11660","21 Oct 2008","21 Oct 2008","AM","Shirqat","oil refinery director","gunfire","1","1","CNN 21 Oct"
"k11632","20 Oct 2008","20 Oct 2008","AM","Fudhailiyah/Mashtal, Baghdad","minibus carrying employees of the Ministry of Housing","roadside bomb","1","2","McCla 20 Oct, REU 20 Oct, VOI 20 Oct, NINA 20 Oct"
"k11633","20 Oct 2008","20 Oct 2008","AM","Maysaloun Square, Baghdad","'employee of Iraq's spy service', taxi passengers killed","bomb attached to car or roadside bomb","2","2","AP 20 Oct, CNN 20 Oct"
"k11636","20 Oct 2008","20 Oct 2008","-","Latifiya","decomposed bodies found","-","9","9","NINA 20 Oct, REU 20 Oct"
"k11637","20 Oct 2008","20 Oct 2008","-","east Mosul","-","roadside bomb","1","1","REU 20 Oct"
"k11638","20 Oct 2008","20 Oct 2008","-","east Mosul","-","gunfire","1","1","NINA 20 Oct"
"k11639","20 Oct 2008","20 Oct 2008","PM","west Mosul","police patrol","roadside bomb","1","1","NINA 20 Oct"
"k11640","20 Oct 2008","20 Oct 2008","-","20km  northwest of Falluja","decomposed bodies of people probably killed in 2006 found","-","10","10","REU 20 Oct"
"k11641","20 Oct 2008","20 Oct 2008","-","Khanaqeen","contractor","roadside bomb","1","1","McCla 20 Oct"
"k11642","20 Oct 2008","20 Oct 2008","12:00 PM","Muqdadiya","civilian accidentally shot dead in police raid","police gunfire","1","1","McCla 20 Oct"
"k11643","20 Oct 2008","20 Oct 2008","-","Buhriz","body found","-","1","1","McCla 20 Oct"
"k11644","20 Oct 2008","20 Oct 2008","-","Al Ghadeer, New Baghdad","body found","-","1","1","McCla 20 Oct"
"k11659","20 Oct 2008","20 Oct 2008","10:15 AM","near COP Cobra, south of Jalula, Diyala","civilians shot dead or killed in vehicle collision","US gunfire or collision with US military vehicle","5","5","WP 21 Oct, US DoD via WikiLeaks 22 Oct 2010"
"k11625","19 Oct 2008","19 Oct 2008","PM","Al-Jisr al-Khamis tunnel, Mosul","police patrol","sniper fire","1","1","NINA 19 Oct, Al-Shar 19 Oct"
"k11626","19 Oct 2008","19 Oct 2008","-","Hassan Sham, Bartala, east of Mosul","Kurdistan Democratic Party guard","gunfire","1","1","VOI 19 Oct, Al-Shar 20 Oct"
"k11627","19 Oct 2008","19 Oct 2008","9:00 AM","Zafaraniyah, Baghdad","people at petrol station","roadside bomb","2","2","XIN 19 Oct, NINA 19 Oct"
"k11628","19 Oct 2008","19 Oct 2008","-","east Mosul","-","drive-by shooting","1","1","REU 19 Oct, NINA 19 Oct"
"k11629","19 Oct 2008","19 Oct 2008","-","Ameen, east Baghdad","body found tortured and shot","gunfire, executed, tortured","1","1","McCla 19 Oct, NINA 19 Oct"
"k11630","19 Oct 2008","19 Oct 2008","-","near Tikrit","Sons of Iraq (Awakening Council) leader","gunfire","1","1","WP 19 Oct"
"k11631","19 Oct 2008","19 Oct 2008","-","Zanjili, west Mosul","policeman","gunfire","1","1","McCla 19 Oct"
"k11635","19 Oct 2008","19 Oct 2008","-","Borsa, Mosul","policeman","sniper fire","1","1","McCla 20 Oct"
"k11648","8 Nov 2005","19 Oct 2008","-","Akkashaat, near Qaim","bodies of Nov 2005 kidnap victims found in mass graves","executed","34","34","AP 22 Oct, REU 22 Oct"
"k11614","18 Oct 2008","18 Oct 2008","PM","al-Hudeira al-Sharqiyya, east Balad","house of Aamer Jassem Khudeir, local Awakening Council leader, family members also killed","gunfire","5","5","NINA 19 Oct, VOI 19 Oct"
"k11615","18 Oct 2008","18 Oct 2008","-","Al-Jillam/Banat al-Hassan, east of Samarra","decomposed bodies of men found","executed","11","11","AFP 18 Oct, CNN 18 Oct"
"k11616","18 Oct 2008","18 Oct 2008","AM","Jarf al-Sakhr","Abdelhadi Ali Makki, Awakening Council leader","gunfire","1","1","VOI 18 Oct, NINA 18 Oct"
"k11617","18 Oct 2008","18 Oct 2008","5:00 AM","Daquq, Kirkuk","Fakhr-al-Din Muhammad, Asayesh (Kurdish intelligence agency) member","roadside bomb","1","1","McCla 18 Oct, REU 18 Oct"
"k11618","18 Oct 2008","18 Oct 2008","1:00 PM","Al-Muallimeen, west Baquba","displaced Shiite man returning home","gunfire","1","1","McCla 18 Oct, DPA 18 Oct"
"k11619","18 Oct 2008","18 Oct 2008","-","Tuz Khurmato","body of kidnapped man found tortured and shot","gunfire, executed, tortured","1","1","REU 18 Oct"
"k11620","18 Oct 2008","18 Oct 2008","-","Diyala","Awakening Council member in clashes with security forces","gunfire","0","1","Al-Shar 18 Oct"
"k11621","18 Oct 2008","18 Oct 2008","-","Baghdad","security man in combat operations","gunfire","0","1","NINA 18 Oct"
"k11622","18 Oct 2008","18 Oct 2008","PM","Kilo-160 area, between Rotba and Ramadi","'convoy of Mayor Qasim Mar'e al-Kubaisi of Rotba', guard killed","roadside bomb","1","1","NINA 18 Oct"
"k11623","18 Oct 2008","18 Oct 2008","-","possibly Kirkuk","body of kidnapped electricity worker found shot dead","gunfire, executed","1","1","AFP 18 Oct"
"k11624","18 Oct 2008","18 Oct 2008","-","Mosul","body found shot dead","gunfire","1","1","REU 18 Oct"
"k11606","17 Oct 2008","17 Oct 2008","-","Al-Ahrar, Kut","body of pregnant woman found shot dead","gunfire","2","2","VOI 17 Oct, REU 17 Oct"
"k11607","17 Oct 2008","17 Oct 2008","9:10 PM","Falluja","Sheikh Suleiman Ahmed al-Jumaili, Sunni imam of mosque","suicide bomb","1","1","McCla 17 Oct, NINA 18 Oct"
"k11608","17 Oct 2008","17 Oct 2008","1:00 PM","near Seyid Haydar Shiite mosque, Shaab, Baghdad","Shiite worshippers leaving mosque","roadside bomb","1","3","McCla 17 Oct, REU 17 Oct, CNN 17 Oct, AP 17 Oct"
"k11609","17 Oct 2008","17 Oct 2008","-","Al-Rashidiya, north of Mosul","-","roadside bomb","1","1","VOI 17 Oct, REU 17 Oct"
"k11610","16 Oct 2008","17 Oct 2008","-","Furat, Diwaniyah","14- and 17-year-old brothers found stabbed and one beheaded","stabbed, beheaded","0","2","DPA/VOI 17 Oct, NINA 17 Oct"
"k11612","17 Oct 2008","17 Oct 2008","-","near al-Dabouni, 55 km north of Kut","body of woman found shot dead","gunfire","1","1","VOI 17 Oct"
"k11613","17 Oct 2008","17 Oct 2008","AM","Chamchamal, northeast of Kirkuk","'Qadir Aziz, a guard in a driver training establishment'","gunfire","1","1","McCla 17 Oct"
"k11599","16 Oct 2008","16 Oct 2008","-","Amil, west Baghdad","body found shot dead","gunfire","1","1","McCla 16 Oct, NINA 16 Oct"
"k11600","16 Oct 2008","16 Oct 2008","-","Kumeit/Al-Jidiya, north of Amara","clashes between police and gunmen, police and civilians killed","gunfire","7","7","VOI 16 Oct"
"k11601","16 Oct 2008","16 Oct 2008","-","Abu Khamis, near Buhriz","6- and 7-year-old boys herding sheep hit","roadside bomb","1","1","McCla 16 Oct, Al-Shar 16 Oct"
"k11603","16 Oct 2008","16 Oct 2008","-","Al-Raqqah, Mansuriyat al-Jabal","Awakening Council member during search and raid operation","US gunfire","1","1","Al-Shar 16 Oct"
"k11604","16 Oct 2008","16 Oct 2008","PM","Kirkuk","lieutenant colonel Mohammed Said, member of the PUK organizations in Chamchamal","gunfire","0","1","McCla 16 Oct"
"k11605","16 Oct 2008","16 Oct 2008","PM","Shorash, northeast Kirkuk","-","gunfire","1","1","Mccla 16 Oct"
"k11588","15 Oct 2008","15 Oct 2008","-","central Mosul","civilian shot dead in random shooting by police","police gunfire","1","1","REU 15 Oct, VOI 15 Oct"
"k11590","15 Oct 2008","15 Oct 2008","-","Beirut Square, Palestine Street, east Baghdad","police patrol attending previous bombing","roadside bomb","2","2","McCla 15 Oct, REU 15 Oct"
"k11591","14 Oct 2008","15 Oct 2008","-","Rafee', north of Karbala","decomposed bodies found","-","22","22","VOI 15 Oct, REU 15 Oct"
"k11592","15 Oct 2008","15 Oct 2008","-","Khazraj, central Mosul","-","gunfire","1","1","McCla 15 Oct, Al-Shar 15 Oct"
"k11593","15 Oct 2008","15 Oct 2008","AM","Jisr Diyala, Baghdad","-","roadside bomb","1","1","McCla 15 Oct, VOI 15 Oct"
"k11594","15 Oct 2008","15 Oct 2008","3:00 PM","near Abu Hanifa mosque, Adhamiyah, Baghdad","-","mortar rounds","2","2","McCla 15 Oct, NINA 15 Oct"
"k11595","15 Oct 2008","15 Oct 2008","-","Baghdad","-","bombs","5","5","DPA 15 Oct"
"k11596","15 Oct 2008","15 Oct 2008","-","Anwar, east Kut","-","gunfire","1","1","VOI 15 Oct"
"k11597","15 Oct 2008","15 Oct 2008","-","near Sadiya police station","-","gunfire","2","2","McCla 15 Oct"
"k11598","15 Oct 2008","15 Oct 2008","10:30 AM","Balad Ruz","-","roadside bomb","1","1","McCla 15 Oct, US DoD via WikiLeaks 22 Oct 2010"
"k11589a","15 Oct 2008","15 Oct 2008","-","Yarmouk, Baghdad","bodies found tortured and shot","gunfire, executed, tortured","1","1","McCla 15 Oct, NINA 15 Oct"
"k11589b","15 Oct 2008","15 Oct 2008","-","Palestine Street, Baghdad","bodies found tortured and shot","gunfire, executed, tortured","1","1","McCla 15 Oct, NINA 15 Oct"
"k11585","14 Oct 2008","14 Oct 2008","-","central Mosul","-","drive-by shooting","1","1","REU 14 Oct"
"k11586","13 Oct 2008","14 Oct 2008","-","Kut","bodies of man and woman found shot dead","gunfire","2","2","VOI 14 Oct"
"k11587","14 Oct 2008","14 Oct 2008","-","Jamia'a, west Baghdad","body found","-","1","1","McCla 14 Oct"
"k11584","13 Oct 2008","13 Oct 2008","-","Risafa and Karkh, Baghdad","bodies found tortured and shot","gunfire, executed, tortured","2","2","NINA 13 Oct"
"k11573","12 Oct 2008","12 Oct 2008","-","Al-Suwayra","decomposed bodies found bound, tortured and shot","gunfire, executed, tortured","2","2","VOI 12 Oct, NINA 12 Oct"
"k11574","12 Oct 2008","12 Oct 2008","-","Zayuna, Baghdad","body found tortured and shot","gunfire, executed, tortured","1","1","McCla 12 Oct, NINA 12 Oct"
"k11575","11 Oct 2008","12 Oct 2008","-","Dora, south Baghdad","Awakening Council checkpoint","drive-by shooting","2","2","McCla 12 Oct, AFP 12 Oct"
"k11576","12 Oct 2008","12 Oct 2008","PM","Zanjili, west Mosul","Badoosh prison guards","car bomb","2","2","VOI 12 Oct, NINA 12 Oct"
"k11577","12 Oct 2008","12 Oct 2008","1:00 - 1:30 PM","Bayaa, south Baghdad","-","car bomb","9","9","REU 12 Oct, NYT 12 Oct"
"k11578","12 Oct 2008","12 Oct 2008","PM","Al-Ekhaa, east Mosul","Farques Batool, Christian music store owner, teenage nephew injured","drive-by shooting","1","1","AP 13 Oct, NINA 13 Oct"
"k11579","12 Oct 2008","12 Oct 2008","-","Karaj al-Shamal , north Mosul","policeman in home","gunfire","1","1","REU 13 Oct, Al-Shar 13 Oct"
"k11580","12 Oct 2008","12 Oct 2008","AM","Arabi, Mosul","police patrol","roadside bomb","1","1","McCla 12 Oct, Al-Shar 12 Oct"
"k11581","12 Oct 2008","12 Oct 2008","6:00 PM","Islah Ziraei, west Mosul","US patrol, civilians killed","suicide car bomb","5","5","AFP 12 Oct, VOI 12 Oct"
"k11582","12 Oct 2008","12 Oct 2008","-","northeast Mosul","Christian man","gunfire","1","1","DPA 13 Oct"
"k11583","12 Oct 2008","12 Oct 2008","-","Mosul","bodies found","-","2","12","NINA 15 Oct, Al-Shar 13 Oct, NINA 15 Oct"
"k11569","11 Oct 2008","11 Oct 2008","PM","Souk al-Shaarin, central Mosul","off-duty policemen","gunfire","1","2","VOI 11 Oct, AP 11 Oct, McCla 11 Oct, XIN 11 Oct"
"k11570","11 Oct 2008","11 Oct 2008","-","south of Hilla","policeman","gunfire","1","1","REU 11 Oct"
"k11571","11 Oct 2008","11 Oct 2008","12:45 PM","4 km west of Baquba","civilian killed during police raid","gunfire","1","1","McCla 11 Oct"
"k11572","11 Oct 2008","11 Oct 2008","-","Mosul","Christian men","bodies found","3","3","McCla 11 Oct"
"k11556","10 Oct 2008","10 Oct 2008","PM","Kirkuk","Kurdish journalist Diyar Abbas Ahmed, working for Al-Ain news agency","drive-by shooting","1","1","REU 10 Oct, NINA 10 Oct"
"k11558","10 Oct 2008","10 Oct 2008","-","Al-Saqlawiyah, 20 km north of Falluja","police checkpoint","suicide car bomb","1","1","NINA 10 Oct, Al-Shar 10 Oct"
"k11559","10 Oct 2008","10 Oct 2008","PM","Al-Mithaq, Mosul","Christians","gunfire","2","2","McCla 11 Oct, PUKM 10 Oct"
"k11560","10 Oct 2008","10 Oct 2008","-","Al-Wehda, Mosul","Christians, including a pharmacist","drive-by shooting","2","2","McCla 11 Oct, PUKM 10 Oct"
"k11561","10 Oct 2008","10 Oct 2008","-","Kournich/Al-Kournaysh market, Mosul","-","suicide bomber","15","15","KUNA 10 Oct, Al-Shar 10 Oct"
"k11562","10 Oct 2008","10 Oct 2008","4:30 PM","Abu Desheer, Doura, Baghdad","people in market","car bomb","13","13","AFP 10 Oct, AP 10 Oct"
"k11563","10 Oct 2008","10 Oct 2008","12:45 PM","near Al-Hkidhr mosque, Bab al-Toob, central Mosul","police patrol","roadside bombs","4","4","VOI 10 Oct, CNN 10 Oct"
"k11564","10 Oct 2008","10 Oct 2008","-","Ghadeer, east Baghdad","body found tortured and shot","gunfire, executed, tortured","1","1","McCla 10 Oct, NINA 10 Oct"
"k11565","10 Oct 2008","10 Oct 2008","8:00 AM","near Al-Samoud factory, Doura, south Baghdad","US military convoy, minibus hit","roadside bomb","1","1","AFP 10 Oct, AP 10 Oct"
"k11566","10 Oct 2008","10 Oct 2008","-","soiuth Mosul","decomposed bodies found shot dead","gunfire","3","3","VOI 10 Oct"
"k11567","10 Oct 2008","10 Oct 2008","-","north Al-Miqdadiyah","people in car","roadside bomb","2","2","Al-Shar 10 Oct"
"k11568","10 Oct 2008","10 Oct 2008","-","Rasheediya, north of Mosul","clashes between police and gunmen, civilian killed","gunfire","1","1","NINA 10 Oct"
"k11542","9 Oct 2008","9 Oct 2008","7:30 AM","Udhaim","Khdaier Abbas Azzawi, Awakening Council leader, and family in minibus","roadside bomb","4","4","McCla 09 Oct, REU 09 Oct"
"k11543","9 Oct 2008","9 Oct 2008","10:10 AM","Habibiyah, Baghdad","Al Sadr Trend MP Saleh al Ugaili, bodyguards and/or passerby also killed","motor-cycle bomb","2","3","VOI 09 Oct, AFP 09 Oct, REU 09 Oct, LAT 10 Oct"
"k11544","9 Oct 2008","9 Oct 2008","-","Hurriya, Baghdad","attorney Walid al-Azzawi","gunfire or magnetic bomb","1","1","NINA 09 Oct, WP 10 Oct"
"k11545","9 Oct 2008","9 Oct 2008","AM","Al-Hurr, 10 miles north of Karbala","car carrying Karbala council employees","magnetic bomb attached to car","1","1","REU 09 Oct, NINA 09 Oct"
"k11546","9 Oct 2008","9 Oct 2008","AM","near Al-Muthafar Square, Sadr City, Baghdad","police patrol","roadside bomb","1","1","REU 09 Oct, NINA 09 Oct"
"k11547","9 Oct 2008","9 Oct 2008","-","Al-Atebaa, Tal Afar","restaurant","roadside bomb","2","2","REU 09 Oct, NINA 09 Oct"
"k11549","9 Oct 2008","9 Oct 2008","4:00 PM","Mansour, west Baghdad","man in car","magnetic bomb attached to car","1","1","McCla 09 Oct, AFP 09 Oct"
"k11550","9 Oct 2008","9 Oct 2008","-","Al-Zubayr, west of Basra","police car transporting a defendant","gunfire","1","1","Al-Shar 09 Oct"
"k11551","9 Oct 2008","9 Oct 2008","AM","Masarif, north Mosul","Christian","gunfire","1","1","NINA 09 Oct"
"k11552","9 Oct 2008","9 Oct 2008","-","east Mosul","body of man found shot dead","gunfire","1","1","REU 09 Oct"
"k11553","9 Oct 2008","9 Oct 2008","-","east Mosul","off-duty policeman","drive-by shooting","1","1","REU 09 Oct"
"k11554","8 Oct 2008","9 Oct 2008","-","Aghjlar , east Kirkuk","'intelligence member of the Patriotic Union of Kurdistan' and civilian companion","gunfire","2","2","McCla 09 Oct"
"k11548a","9 Oct 2008","9 Oct 2008","PM","Sleikh, Baghdad","bodies found shot dead","gunfire","1","1","McCla 09 Oct, NINA 09 Oct"
"k11548b","9 Oct 2008","9 Oct 2008","PM","Tobchi, Baghdad","bodies found shot dead","gunfire","1","1","McCla 09 Oct, NINA 09 Oct"
"k11531","8 Oct 2008","8 Oct 2008","11:20 AM","Baquba","joint Iraqi army/police checkpoint at courthouse","female suicide bomber","6","7","XIN 08 Oct, McCla 08 Oct, AP 08 Oct, NINA 08 Oct"
"k11532","8 Oct 2008","8 Oct 2008","-","Madain","Sunni family","explosion in house","5","5","AP 09 Oct, IND 10 Oct"
"k11533","8 Oct 2008","8 Oct 2008","-","Wihda, Baghdad","Shiite family in house","explosion in house","4","4","AP 09 Oct, IND 10 Oct"
"k11534","8 Oct 2008","8 Oct 2008","AM","Al-Tamim, east Mosul","Christian day labourer","gunfire","1","1","VOI 08 Oct, AP 08 Oct"
"k11535","8 Oct 2008","8 Oct 2008","-","Mosul","man approaching US soldiers, 'perceiving hostile intent'","US gunfire","1","1","WP 09 Oct, MNF 08 Oct"
"k11536","8 Oct 2008","8 Oct 2008","-","Obeidi, Baghdad","body found shot dead","gunfire","1","1","McCla 08 Oct, NINA 08 Oct"
"k11537","8 Oct 2008","8 Oct 2008","PM","Masarif, north Mosul","Christian man","gunfire","1","1","NINA 09 Oct"
"k11538","8 Oct 2008","8 Oct 2008","PM","Zab, near Kirkuk","Ghazi Abdullah, Sahwa (Awakening Council) officer","gunfire","1","1","NINA 08 Oct, REU 09 Oct"
"k11539","8 Oct 2008","8 Oct 2008","-","Mussayab","body found","-","1","1","REU 08 Oct"
"k11540","8 Oct 2008","8 Oct 2008","PM","Rashidiya, Mosul","police patrol","roadside bomb","3","3","McCla 08 Oct, VOI 08 Oct"
"k11541","1 Oct 2008","8 Oct 2008","-","Mosul","Christians","gunfire","2","2","AP 09 Oct"
"k11521","7 Oct 2008","7 Oct 2008","AM","Al-Tahrir, east Mosul","Christian assistant pharmacist","gunfire","1","1","VOI 07 Oct, REU 07 Oct"
"k11522","7 Oct 2008","7 Oct 2008","PM","al-Sedeeq, north Mosul","Christian man and son","gunfire","2","2","VOI 07 Oct, REU 07 Oct"
"k11523","7 Oct 2008","7 Oct 2008","PM","between Sheikh Fathi and al-Boursa, west Mosul","US military convoy, civilians killed","suicide car bomb","1","2","KUNA 07 Oct, VOI 07 Oct, XIN 07 Oct, NINA 07 Oct"
"k11524","7 Oct 2008","7 Oct 2008","12:30 AM","Hay Domez, southeast Mosul","suspecte Al Qaeda insurgents","gunfire","1","1","REU 07 Oct, NINA 07 Oct"
"k11525","7 Oct 2008","7 Oct 2008","-","al-Ghabat, east Kut","bodies of young man and woman found shot dead","gunfire","2","2","VOI 07 Oct, REU 07 Oct"
"k11526","7 Oct 2008","7 Oct 2008","-","Al-Baladiyat and al-Re'asa/Shaab, Baghdad","bodies found shot dead","gunfire","2","2","VOI 07 Oct"
"k11527","7 Oct 2008","7 Oct 2008","-","Mansour, west Baghdad","body found","-","1","1","McCla 07 Oct"
"k11528","7 Oct 2008","7 Oct 2008","-","Iskandariya","-","roadside bomb","1","1","REU 08 Oct"
"k11529","7 Oct 2008","7 Oct 2008","AM","Anwar al-Sadr, east Kut","family in feud","gunfire","1","1","VOI 07 Oct"
"k11530","6 Oct 2008","7 Oct 2008","-","central Kut","-","gunfire","1","1","VOI 07 Oct"
"k11518","6 Oct 2008","6 Oct 2008","-","Al-Bursa, west Mosul","shop owner","gunfire","1","1","KUNA 06 Oct, VOI 06 Oct"
"k11519","6 Oct 2008","6 Oct 2008","-","Zanjili, west Mosul","police patrol","gunfire","1","1","KUNA 06 Oct, VOI 06 Oct"
"k11520","6 Oct 2008","6 Oct 2008","-","Doura, Baghdad","body found tortured and shot","gunfire, executed, tortured","1","1","NINA 06 Oct"
"k11507","5 Oct 2008","5 Oct 2008","5:00-6:00 AM","17 Tammuz, west Mosul","Al Qaeda leader, Abu Quaswarah, women and children in family killed","US and insurgent gunfire, suicide bomber","6","10","NINA 05 Oct, WP 06 Oct"
"k11508","5 Oct 2008","5 Oct 2008","-","Zanjili, west Mosul","mourning tent","drive-by shooting","3","4","McCla 05 Oct, NINA 05 Oct, CNN 04 Oct, XIN 05 Oct"
"k11509","5 Oct 2008","5 Oct 2008","-","Al-Farouq, central Mosul","butcher and son","gunfire","1","1","REU 05 Oct, VOI 05 Oct"
"k11510","5 Oct 2008","5 Oct 2008","-","Al-Quds, east Mosul","government customs worker","gunfire","1","1","LAT 06 Oct, McCla 07 Oct"
"k11511","5 Oct 2008","5 Oct 2008","-","Hussein Al Hamad, near Khan Bani Saad","village","gunfire","1","1","VOI 05 Oct, Al-Shar 05 Oct"
"k11512","5 Oct 2008","5 Oct 2008","-","near Al-Rabi Bridge, northern Mosul","policeman","sniper fire","0","1","WP 06 Oct, Al-Shar 05 Oct"
"k11513","4 Oct 2008","5 Oct 2008","-","Wahda, Mosul","bodies of kidnapped men found","executed","3","3","McCla 05 Oct"
"k11514","5 Oct 2008","5 Oct 2008","-","Al-Sokar, Mosul","Turkman secondary school teacher, driving car","gunfire","1","1","AP 05 Oct, VOI 05 Oct"
"k11515","5 Oct 2008","5 Oct 2008","-","Diyala","Sons of Iraq (Awakening Council) members","gunfire","1","1","CNN 05 Oct"
"k11516","5 Oct 2008","5 Oct 2008","-","Al-Numaniya, 40 km north of Kut","-","gunfire","1","1","VOI 05 Oct"
"k11517","4 Oct 2008","5 Oct 2008","-","Kirkuk","body of kidnapped man found","executed","1","1","McCla 05 Oct"
"k11499","3 Oct 2008","4 Oct 2008","-","Hay al-Mithaq, southeast Mosul","bodies of kidnap victims found shot dead","gunfire, executed","2","2","REU 04 Oct, VOI 04 Oct"
"k11504","4 Oct 2008","4 Oct 2008","-","Bab al-Saray, central Mosul","Hazzem Yousef, Christian shop owner","gunfire","1","1","REU 04 Oct, NYT 11 Oct"
"k11505","4 Oct 2008","4 Oct 2008","-","east of Ramadi","police station","gunfire","2","2","REU 05 Oct"
"k11506","4 Oct 2008","4 Oct 2008","-","Al-Tahreer, east Mosul","body found shot dead in vehicle","gunfire","1","1","VOI 04 Oct"
"d5199","2 Oct 2008","4 Oct 2008","5:40 PM (shot)","Market Street, Bayji","Moped that did not comply with 'EOF measures', driver dies of wounds at Spiecher CSH on 04 Oct","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k11498","3 Oct 2008","3 Oct 2008","-","Adhamiya, north Baghdad","Mahir Ahmad Mahmud Judu' al-Zubaydi, Al Qaeda in Iraq leader in Resafa, wife also killed","US gunfire","1","1","AP 05 Oct, NINA 04 Oct"
"k11500","3 Oct 2008","3 Oct 2008","PM","Bab Lakash, central Mosul","police patrol","roadside bomb","2","2","REU  04 Oct, VOI 03 Oct"
"k11501","3 Oct 2008","3 Oct 2008","-","west Mosul","body found","-","1","1","REU 04 Oct"
"k11502","3 Oct 2008","3 Oct 2008","PM","Karabilah, west Anbar","police patrol","roadside bomb","1","1","NINA 03 Oct"
"k11503","3 Oct 2008","3 Oct 2008","-","Saidiyah, Baghdad","decomposed body found","-","1","1","McCla 03 Oct"
"k11493","2 Oct 2008","2 Oct 2008","7:45 AM","Al Rasool Shiite mosque, Baghdad al-Jadida","worshippers at Al Rasool Shiite mosque","teenage suicide bomber","12","13","KUNA 02 Oct, McCla 02 Oct"
"k11494","2 Oct 2008","2 Oct 2008","-","Hilla","Ahmad Atiyah, Interior Ministry employee","gunfire","1","1","LAT 03 Oct, Al-Shar 02 Oct"
"k11495","2 Oct 2008","2 Oct 2008","AM","Wajihiya","family in minibus","gunfire","6","6","AP 02 Oct, VOI 02 Oct"
"k11496","2 Oct 2008","2 Oct 2008","7:45 AM","Zafaraniyah, Baghdad","Shiite mosque, Iraqi army checkpoint hit","suicide car bomb","10","11","AaP 02 Oct, LAT 03 Oct"
"k11497","2 Oct 2008","2 Oct 2008","-","Nidhal Street, central Baghdad","body found shot dead","gunfire","1","1","McCla 02 Oct, NINA 02 Oct"
"k11475","1 Oct 2008","1 Oct 2008","PM","near shrine of Sayyid Mohammed, Balad","-","car bomb","3","4","VOI 01 Oct, NINA 01 Oct, AP 01 Oct, DPA 01 Oct"
"k11476","1 Oct 2008","1 Oct 2008","-","Al-Batira, 15 km northwest of Amara","clashes between tribes of al-Batabita and Bani Malek","gunfire","0","2","VOI 01 Oct, NINA 01 Oct"
"k11477","1 Oct 2008","1 Oct 2008","PM","south Halabja","body found shot dead","gunfire","1","1","VOI 01 Oct"
"k11473","30 Sep 2008","30 Sep 2008","3:00 PM","near National Theatre, Karrada, Baghdad","-","car bomb","4","4","NINA 30 Sep, McCla 30 Sep"
"k11474a","30 Sep 2008","30 Sep 2008","-","Talbiyah, Baghdad","bodies found tortured and shot","gunfire, executed, tortured","1","1","McCla 30 Sep, NINA 30 Sep"
"k11474b","30 Sep 2008","30 Sep 2008","-","Amil, Baghdad","bodies found tortured and shot","gunfire, executed, tortured","1","1","McCla 30 Sep, NINA 30 Sep"
"k11465","29 Sep 2008","29 Sep 2008","-","Saidiyah, Baghdad","body found shot dead","gunfire","1","1","McCla 29 Sep, REU 30 Sep"
"k11466","29 Sep 2008","29 Sep 2008","-","east Mosul","body of woman found shot dead","gunfire","1","1","REU 30 Sep"
"k11467","29 Sep 2008","29 Sep 2008","-","Al-Rasoul, Diyala","Ahmed Salim, tribal sheik, two sons killed","gunfire","2","2","AP 29 Sep, NINA 29 Sep"
"k11468","29 Sep 2008","29 Sep 2008","-","west Mosul","brothers 'working for the Iraqi security forces'","gunfire","0","2","REU 29 Sep"
"k11469","29 Sep 2008","29 Sep 2008","-","Bani Saad","members of displaced family","gunfire","2","2","NINA 29 Sep"
"k11470","29 Sep 2008","29 Sep 2008","-","central Mosul","coffee shop employee","gunfire","1","1","REU 30 Sep"
"k11471","29 Sep 2008","29 Sep 2008","PM","Nabi Yunis, Mosul","-","car bomb","2","2","NINA 29 Sep"
"k11472","29 Sep 2008","29 Sep 2008","-","Iskandariya","civilian car hit","roadside bomb","1","1","REU 29 Sep"
